particularly as he knew that the duties pertaining,his office, in the ,,,,
even for a vice consul. It will be recollected also that previous to ,,,,,,
bally,His Excellency the President of Texas that Mr Green had ,,,,,
no authority in any manner,represent the Government of the ,,,,,
this light then, the objectionable conduct imputed,him, ceases to ,,,
have any higher importance than what belongs,his individual, pri- ,,,,
vate, character; and the undersigned is happy,be assured that his ,,,,
Government and people of the two Republics, are so necessary to ,,,,,
As,the measures sought,be accomplished by Mr Green, under ,,,
it,be his duty,say that he had no knowledge of them, and par- ,,,
have the ight of a step, the effect of which would be,counte&amp;imce ,,,,
ocean v as,be invaded and severed by another revolution from ,,,,,
Mexico. To check such speculations â€” to give a more safe direction ,,,,,,
and short sighted policy of Mexico â€” and above all,secure,the ,,,,
of war, would be contrary,what the undersigned has supposed to ,,,,
ments,the success of the measures yet necessary,secure rean- ,,,,
nexation,the United States, and jeopard in other respects her ,,,,
ability,maintain her present elevated position. ,,,,,
The undersigned having felt it his duty,make these observations, ,,,,
begs leave,add that he will submit,Mr Green the reasons for the ,,,,
consistent with his honor and acceptable,his Excellency the Presi-. ,,,,,
not,be merited ,,,,,
President, the undersigned begs leave,say in reply,the Honble ,,,
continue,uphold him in the performance of all his duties near this ,,,,,
Government; and the undersigned begs Mr Allen,accept for him- ,,,,,
He has the honor,be very ,,,,,
Calhoun,"Raymond."" ",,,,,
Allen to [Raymond.] ,,,,,,
I have the satisfaction,acknowledge the receipt of the several ,,,,,
dispatches addressed by you,this Department, under dates of the ,,,,
a Januaiy 8 1845,,,,,,
Secretary of State etc. and your reply,the same, on the adjustment ,,,,
and the evidence,be furnished by this Department,the Depart- ,,,,
ment of State of the United States, to estabhsh the facts of the case, ,,,,
to secure and hasten the annexation of Texas,the United States, ,,,,
sage referred to, correspond with the elevated and ingenuous poUcy, ,,,,
its influence could be properly brought,operate upon the affairs ,,,,,
of the negotiations tending,such a consummation, what it may; ,,,,
to secure the rich and abiding fruits, sure,grow out of annezaiion ,,,,
effected upon a proper basis; and,enure mutually and reciprocally ,,,,,
to the benefit of both countries, will ensure,Mr. Tyler the lasting ,,,,
cause of annexation, will receive, as a mede [sic], if inferior,their ,,
enduring tribute of a nation's thanks. Your reply,the enquiries ,,,,,
so frequently addressed,you by Members of Congress and others ,,,,,
in the United States, relating,the present views of this government ,,,,
in regard,annexation, as communicated in your private dispatch, ,,,
directs me,acknowledge, meets his entire approbation; and was ,,,,
o Addressed,Jones. ,,,,,
b Addiessed,Jones. See Calendar of Comspondenoe with the United States in Part I. ,,,,,
yielding,the natural influence of disappointment, and,an irre- ,,,
pelled,consider their connexion with the measure dissolved. ,,,,,
referred to, will be furnished by this Department at its earliest possi- ,,,,,
Raymond,Allen.^ ,,,,,
Enclosed herewith, I have the honor,transmit a copy of the reply ,,,,
of the Secretary of State of the United States,my note of the 4th. ,,,,,
The discussion on the resolutions for the annexation of Texas to ,,,,,,
I find that my private affairs are in a condition,require my per- ,,,,,
sonal attention, and,make it desirable that I reach home by April, ,,,
next. I therefore beg leave, most respectfully, to tender, through ,,,
you, to His Excellency the President this my resignation, and request ,,,,
wiU make the necessary appropriation for my salary up,that time. ,,,,,
I have the honor,be with high regard. ,,,,,
[Inclosed is a copy of Calhoun,Raymond, January 8 1845,,,,
Allen to [Raymond.] ,,,,,,
in the service of the Government, addressed,Major Thos. G. West- ,,,,
it impossible,proceed; â€” the prairies for hundreds of miles across ,,,,,
a January 14 1845,,,,,,
b Received February 9. See Raymond,Allen, February 18 1845,,,,
The President directs that you communicate this intelligence to ,,,,,,
ties,effect the release of the prisoners through the agents or other- ,,,,,
wise, from the Indians, and cause them,be conveyed,Fort Tow- ,,
son or some other point where they can be delivered,our agents and ,,,,,
restored,their home and friends. All necessary expenses attend- ,,,,,
will be no doubt appropriated,meet the excess. ,,,,,
of the U, States, will lead,the speedy release of tJiese youthful cap- ,,,
tives from their savage masters, who delight,aggravate rather than ,,,,
I have the honor,remain ,,,,,
Raymond,Allen. ,,,,,
Lexington Ky. on the 10th. inst. informing me of his intention to ,,,,,,
he has declined his appointment of Charg6 d' Affaires,the United ,,,,,
be here,relieve me by the time I desired it,take effect. If imder ,,,,
a The Texas Senate had refused,confirm Refly's appointment, becaose he was believed,be opposed ,,,
to annexation. See Smith,Relly, February 10 1845,,,,
rather,the Domestic than the Diplomatic Cotreqwn d enc e of the BepobUoof Te: ,,,,,
present circumstances, the Government desire me,remain longer ,,,,
than,the 1st. of March next, I will endeavour so,arrange my pri- ,,,
vate affairs as,make it convenient for me,do so. ,,,,
Mr Milton Brown, in the House, a joint resolution,annex Texas, ,,
which seems,be acceptable,most of the democratic, and many ,,,
I have the honor,be with high consideration ,,,,,
Allen,Raymond. ,,,,,
inflicted by them upon the person of the Collector, I hasten,trans- ,,,,
mit the same,you. ,,,,,
will be foimd, I doubt not, fully sufficient,establish the points sug- ,,,
United States addressed,you imder date of the 2d. ultimo â€” a copy ,,,,,
o January 18 1845,,,,,,
fr Reoeived February 0. See Raymond,Allen, February 18 1845,,,,
Executive,present the matter,Congress for the requisite appro- ,,,,
priation, at its present session, as indicated by the note referred to ,,,,
the goods applied,me,aid them in so doing by advice and by ,,,,
becoming security in any bond or obligation,the Government of ,,,,,
the Republic which might be necessary,effect the legal release of ,,,,,
merchandize, so seized, amoimted in the aggregate,the siun of ,,,
oath,the truth of the foregoing Deposition by him subscribed ,,,,,
believes,cause the same,be so landed and stored; but that the ,,,,
River, and in the United States, with which,return; â€” that, although ,,
that place, at that time, still no report was made,him by the Officer ,,,
from the proper Judicial authority, and by virtue thereof proceeded to ,,,,,
that behalf, and instituted proceedings in admiralty, to the end that ,,,,
condemned and disposed of according,law. ,,,,,
upon such seizure â€” amounted,the sum of one hundred dollars; and ,,,,,
"the Steam Boat ""Hunter"," consisting of from thirty,forty men, all 
and having thrown me violently upon the ground, they proceeded to 
shoulders and legs, so as,prevent me from rising, keep me in a 
his order proceeded,the ware-house, broke the door from its hinges, 
In relation,the amoimt of damages sustained in consequence of 
a For a copy inclosed with Boorland,Secretary of Treasury, May 4 1843
deponent can remark that I cannot pretend,suggest the proper 
attempt,estimate, but will leave this item,the decision of the 
made oath,the truth of the foregoing Deposition by him Subscribed 
Green,Donelson.^ 
DoNELSON,Allen.** 
honor,submit herewith,the consideration of the Honble Mr 
Department of State, a letter from Duff Green Esqr., in relation to 
the objectionable conduct imputed,him, and which was the subject 
of the communication made,the undersigned on the 4th. Inst 
Accompanying this letter is also one addressed,Mr Green by 
three Gentlemen of this place. The object of both letters is,shew 
Â« January 20 1845
tions which would otherwise have continued,exist between them. 
The undersigned r^rets deeply that his confinement,the bed 
of sickness, from which he is yet hardly able,rise, has so long post- 
poned this explanation; but he is happy,say that he has in the 
measures proposed,be accomplished by him through the agency 
he does not deem it necessary on this occasion,say more than 
here is simply,be the medium of explanation for Mr Green, being 
The undersigned renews,the Honble Mr Allen the considerations 
of high regard and esteem with which he continues,be his 
from my intention than,offer the slightest disrespect,him, or 
to resort,any improper means,obtain his sanction for the meas- 
ures,which he refers, and I trust that as an act of justice,us both, 
you will disclaim for me all intention,offer the slightest disrespect 
or,interfere in any manner with the consciencious and independent 
I need not say,you that the measures referred to, as presented 
by me, were believed,be proper and expedient. My purpose is not 
to discuss them but,enable you,make the most unequivocal 
disclaimer and,put my intentions properly before the President 
â€¢ AUen,Donelson, Januvy 4 1845
I do this ns an act of justice,mjself leaTing hixn,act ns he may 
making,bring about a reconciliation it would not be accomplished. 
It was but natural that under such circumstances I should yield to 
the suggestions that he was, in fact, opposed,annexation and was 
my opinion subject,his future action. 
not,be published unless it became necessary for my vindication. 
a willingness,do me justice I would have written,Houston to 
for an express,reach there in time. I regret its publication, as 
has been done,the President. 
I have the honor,be 
questing us,address you a written statement of the substance of the 
We have no hesitation in communicating,the best of our recol- 
ing character in relation,the Executive. And we cannot but re- 
all opposed,annexation. You expressed the decided belief that 
for the annexation of Texas, which she ought [to,] or could accept. 
the first to put in motion the ball of revolution"" in Texas; that ",,,,,
rather than submit,such a state of things, he would be willing,go ,,,
"'*by a convention of the people""", to which the first gave his assent ,,,,,
We have [the] honor,be ,,,,,
I beg leave,call your attention,a claim, upon the Government ,,,
in the winter of 1836-37, to the escort that accompanied Genl ,,,,,
Santa Anna,Washington City under the authority of this Gov- ,,,,,
of their note. The liability,the Bank was duly met and paid by ,,,,,
understood,have been promptly acknowledged at the time by ,,,,,
The subject is now submitted,the consideration of the Executive, ,,,,
ceive such a disposition as will secure relief,the worthy citizen who ,,,,,
so generously offered his credit,sustain an appeal made,him in ,,,,
I have the honor,be very respectfully ,,,,,
Allen,Donelson. ,,,,,
has the honor,acknowledge the receipt of the note addressed to ,,,,,
the United States, relating,"the ** objectionable conduct"" recently ",,,,
imputed,Duff Green, Esq., originating in his interview with the ,,,
President, enclosing Mr. Greens letter,the Hon. Mr. Donelson, ,,,
three Gentlemen of this place,Mr. Green â€” the two latter having ,,,,,
relation,the same subject, containing a disclaimer on his part to ,,,,
"offer *'the slightest disrespect"" to the Executive or",interfere in ,,,,,
should so present the matter,the President as,place before him ,,,,
a sense of the official obligations incident,his station â€” in adopting ,,,,,
panying communications, to His Excellency, has the satisfaction of ,,,,
A necessity for giving color,suspicions prejudicial,any indi- ,,,,
the duty ever so imperative always prevents an alternative,be ,,,,,
regretted by the ingenuous and the honorable. Alive,such feel- ,,,,,
ings, His Excellency is happy,avail himself of the occasion,obvi- ,,,
ate, so far as the tenor of the correspondence referred,will warrant, ,,,
who as the undersigned is instructed,inform Mr. D. is willing to ,,,,,
